problem_id,category,subtype,difficulty,layer,n_tokens,unique_experts,unique_per_token,entropy,concentration,top1_expert,top6_experts,correct,truncated,n_gen_tokens
comp-easy-01,computational,gsm8k_word_problem,easy,1,250,127,0.508,4.650300346631896,0.023852994553936035,118,"118,80,50,83,85,27",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,3,250,127,0.508,4.610940525472066,0.030625763305216814,98,"98,109,115,117,85,64",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,6,250,126,0.504,4.369994687396597,0.10563860858410375,106,"106,42,27,23,79,52",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,8,250,117,0.468,4.235996557415065,0.07323450815993225,79,"79,25,15,10,108,120",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,10,250,105,0.42,3.821293705209502,0.12543261921540258,80,"80,49,99,21,115,36",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,13,250,97,0.388,3.889863999832369,0.10045062253565801,125,"125,34,48,95,50,27",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,15,250,108,0.432,4.104342505783917,0.07549254885156083,122,"122,70,7,22,68,29",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,17,250,96,0.384,3.825261885258431,0.11799602577038297,36,"36,3,45,19,121,31",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,20,250,100,0.4,3.8453002695845027,0.11892385135231472,26,"26,19,31,16,1,123",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,22,250,117,0.468,4.328535453919048,0.06465369747689077,58,"58,46,7,101,94,112",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,24,250,104,0.416,3.982328153895612,0.08959148190494642,72,"72,67,123,78,30,16",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,27,250,108,0.432,3.8779990763159504,0.16866721575402865,90,"90,70,103,11,89,122",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,29,250,112,0.448,4.121014852616788,0.09790174210702739,18,"18,45,83,123,102,38",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,31,250,114,0.456,3.9947073239874786,0.15812828856137282,35,"35,25,20,23,99,58",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,34,250,115,0.46,4.024796251751655,0.11291371075353712,35,"35,66,1,98,63,80",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,36,250,116,0.464,4.145998278265344,0.08741377976839189,72,"72,127,11,34,105,65",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,38,250,114,0.456,4.035005680901381,0.15702775696619461,27,"27,75,49,79,54,29",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,40,250,116,0.464,4.20625026118793,0.12240056609275492,12,"12,87,11,8,53,44",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,43,250,115,0.46,4.354110062432386,0.03610435328805201,7,"7,72,105,36,6,91",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,45,250,115,0.46,4.258722452117405,0.08164369820181325,99,"99,4,43,96,120,40",True,False,251
comp-easy-01,computational,gsm8k_word_problem,easy,47,250,120,0.48,4.305048469579075,0.09164503243377112,75,"75,34,111,3,52,12",True,False,251
